Cruise,Date,Area,StationID,CTD,Depth,ID_sample,Latitude,Longitude,Water_mass,Temp,Salinity,O2_sat,AOU,Fluorescence_Chla,Fluoresence_fDOM,PAR,TA,DIC,pH,pCO2,NO3,NO3_NO2,SiO2,NO2 ,PO4,Si*,NO3*,PO4* ,DOC,TDN,DON,Chla,BIX,b,t,a,m,c,FI,HIX,B_A,a254,a300,a350,E2_E3 ,E4_E6,S275_295,S350_400,S300_700,SR ,SUVA254,C1,C2,C3,C4,C5,r_C1,r_C2,r_C3,r_C4,r_C5,BA,Nanoplankton,Picoplankton,cluster
Augmentum01,2025-08-22T13:21:00,Iterdlak,14,14,1,St14_1,60.64383333,-46.25516667,MW,6.48,29.589,107.9615185,-12.05615216,0.31,2.897,85.922,2039.556209,1907.885987,8.064731568,345.6026767,0.121,0.137,0.702,0.016,0.104,0.554322705,1.401857043,1.498142957,70.4,6.1,5.96,0.31,0.532687831,0.13275526,0.08692328,0.439038265,0.32123322,0.782272432,2.556372143,0.844685979,0.731674766,6.754117115,3.614678371,2.541821343,1.869380461,1.274632546,0.022000601,0.004337798,0.00459814,5.071836091,11.52160878,0.184289354,0.208792849,0.490773292,2.427371049,0.141263644,0.053378676,0.060476015,0.142150525,0.703078334,0.040916451,2.96E+04,4.36E+02,4.44E+03,2
Augmentum01,2025-08-22T13:21:00,Iterdlak,14,14,15,St14_15,60.64383333,-46.25516667,MW,4.86,30.622,107.0083251,-24.60370364,0.97,2.458,9.285,2090.997495,1950.50403,8.094415635,323.2909337,0.1394,0.163,0.958,0.0236,0.213,0.779380885,-0.281246504,3.181246504,82.23,6.33,6.16,0.97,0.764299796,0.065060103,0.072083714,0.278426881,0.152211095,0.139680732,1.438059967,0.858148367,0.546682468,4.11228911,1.868581387,1.156026221,3.589184003,1.456705421,0.015460545,0.0068141,0.007243389,2.268904972,6.006265603,0.185458073,0.183847683,0.023784289,0.514245944,0.08459164,0.186967343,0.185343847,0.023977847,0.518430911,0.085280052,7.53E+04,9.42E+03,1.54E+04,2
Augmentum01,2025-08-22T13:21:00,Iterdlak,14,14,45,St14_45,60.64383333,-46.25516667,WGSW,2.45,31.802,103.6780568,-22.33091557,0.63,2.963,0.441,2148.276291,2005.25577,8.116080086,307.8089753,1.2958,1.386,1.613,0.0902,0.378,0.222346216,-1.666423173,4.566423173,NA,NA,,0.63,0.782384426,0.286843937,0.166787869,0.648313761,0.414944821,0.640574593,2.298530627,0.79367426,0.64003704,10.19262423,6.220166653,3.982913444,2.791566362,1.811522305,0.011992208,0.006855629,0.00672251,1.749249898,,0.32155225,0.353954034,0.607921988,6.006653803,0.408901883,0.041765544,0.045974123,0.078961327,0.780187858,0.053111149,6.33E+04,7.74E+03,3.59E+04,4
Augmentum01,2025-08-23T10:33:00,Iterdlak,15,15,1,St15_1,60.16865,-47.26515,WGSW,4.02,33.061,103.0379354,-12.32138549,0.44,2.707,94.127,2212.354467,2069.53549,8.068234653,359.547054,8.0655,8.249,3.828,0.1835,0.638,-4.326339116,0.982945413,1.917054587,71.49,8.53,0.28,0.44,0.753960456,0.071983457,0.063535504,0.262755604,0.153582574,0.148801186,1.750718098,0.867278706,0.584507319,3.249432373,1.378219928,0.848873971,4.747577443,1.773568682,0.021821792,0.015321667,0.010121581,1.424243933,5.458744389,0.157705997,0.162472821,0.078090747,0.511637624,0.077672258,0.159689427,0.164516203,0.079072876,0.518072369,0.078649124,3.19E+04,8.26E+02,5.49E+03,3
Augmentum01,2025-08-23T10:33:00,Iterdlak,15,15,15,St15_15,60.16865,-47.26515,WGSW,5.36,34.016,101.5145059,-9.698436445,0.76,2.409,13.744,2260.700817,2095.308905,8.087037055,348.8237189,5.3958,5.534,2.804,0.1382,0.501,-2.669662853,0.472855971,2.427144029,75.79,12.23,6.69,0.76,0.720353255,0.108618847,0.076653059,0.256950234,0.159196667,0.162764087,1.545910885,0.817037462,0.619562255,3.825119371,1.867699866,1.206762665,3.75787093,3.350310555,0.019591702,0.012257884,0.008715257,1.598293881,6.061514217,0.153646798,0.15754929,0.074336081,1.656407227,0.114808845,0.071240025,0.073049458,0.03446674,0.768011396,0.053232381,2.14E+05,3.06E+04,6.06E+04,3
Augmentum01,2025-08-23T10:33:00,Iterdlak,15,15,45,St15_45,60.16865,-47.26515,WGIW,5.67,34.461,98.43553911,-4.64951116,0.36,2.29,1.106,2283.707635,2108.892897,8.095576644,342.795691,3.4032,3.525,2.597,0.1218,0.444,-0.907191544,-0.598748424,3.498748424,74.23,14.23,10.7,0.36,0.741253714,0.13020401,0.076781238,0.260853639,0.165610325,0.190662718,2.056826131,0.795698024,0.634878338,4.380631624,2.228502996,1.30468477,3.800368539,2.0341108,0.018441962,0.008579484,0.008823142,2.149542157,7.087765468,0.140183516,0.148601888,0.126960947,3.394647842,0.153877397,0.035361734,0.037485295,0.032026299,0.856310615,0.038816058,7.54E+04,4.81E+03,1.57E+04,3
Augmentum01,2025-08-23T14:34:00,Iterdlak,16,16,1,St16_1,60.48116667,-46.58583333,MW,6.04,29.953,109.1060138,4.752348093,0.51,2.293,86.221,2055.984132,1921.964854,8.070999005,341.2790511,0.3376,0.374,1.108,0.0364,0.275,0.719935226,-1.048854521,3.948854521,105.27,10.13,9.76,0.51,0.810621031,0.067307328,0.065310806,0.249871465,0.134250886,0.120077931,1.70461972,0.863685141,0.537279783,3.108506362,1.248093458,0.574449143,6.019801808,2.952507059,0.025841057,0.009085268,0.012171794,2.844281187,3.546376146,0.160166164,0.150898184,0.009755343,0.389493047,0.073478303,0.204348042,0.192523487,0.012446357,0.496934803,0.093747312,2.04E+04,2.65E+02,2.88E+03,2
Augmentum01,2025-08-23T14:34:00,Iterdlak,16,16,15,St16_15,60.48116667,-46.58583333,MW,3.78,31.136,107.2933523,-28.35515698,0.93,2.742,9.17,2114.783655,1972.197531,8.107511072,313.764111,0.619,0.665,1.378,0.046,0.301,0.698726458,-1.167901159,4.067901159,135.22,15.67,15.01,0.93,0.782439808,0.080816168,0.082651954,0.301052458,0.158891703,0.135306731,1.322146078,0.861524703,0.527787431,3.386849294,1.341084286,0.624509181,6.292544456,4.832850423,0.025082787,0.017421143,0.0159488,1.439790005,3.008101665,0.19394874,0.197381858,0.013755126,0.548736755,0.089445404,0.185905023,0.189195758,0.013184654,0.525978767,0.085735797,2.09E+04,6.96E+02,3.87E+03,2
Augmentum01,2025-08-23T14:34:00,Iterdlak,16,16,45,St16_45,60.48116667,-46.58583333,WGSW,2.12,32.045,105.020022,-23.76226391,0.42,2.96,0.51,2158.968952,2014.630372,8.120578437,304.9168491,1.7502,1.86,1.963,0.1098,0.385,0.100870261,-1.311088573,4.211088573,208.61,30.58,28.72,0.42,0.794809619,0.118117358,0.090583874,0.380298471,0.219535526,0.225279954,1.834067877,0.841474509,0.577271649,5.313677943,2.684431526,1.461643547,3.887719061,2.040284884,0.016842264,0.006884235,0.008759202,2.446497419,3.059196748,0.225568399,0.244945199,0.099931296,2.156670464,0.147642958,0.07846517,0.085205493,0.034761634,0.750209314,0.05135839,5.34E+04,4.03E+03,1.29E+04,3
Augmentum01,2025-08-24T08:06:00,Tunulluarfik,17,17,1,St17_1,61.1682,-45.23467,MW,0.92,21.952,105.2481759,-16.92523344,0.28,2.997,77.264,1681.217706,1664.913146,7.830724232,531.9356205,1.6273,1.741,11.085,0.1137,0.238,9.219386398,0.860565958,2.039434042,46.32,6.04,4.3,0.28,0.343301945,0.038038147,0,0.112293776,0.042130915,0.051683794,1.546779896,0.927670551,0.375184775,1.185671437,0.458440634,0.174098641,6.376717657,1.03856198,0.02668244,0.009376328,0.014393975,2.845723776,3.074247401,0.080570301,0.026137011,0.003663622,0,0.005001372,0.698350445,0.226544931,0.031754777,0,0.043349847,1.15E+05,1.36E+04,1.84E+05,1
Augmentum01,2025-08-24T08:06:00,Tunulluarfik,17,17,15,St17_15,61.1682,-45.23467,MW,0.32,29.227,105.3258336,-19.72453894,0.04,3.3,0.786,2027.175053,1916.861699,8.103013307,304.5969957,1.8515,2.054,2.897,0.2025,0.407,0.827290479,-1.474924029,4.374924029,89.86,11.92,9.87,0.04,0.956916732,0.006509685,0,0.18464908,0.094488921,0.10085685,1.724526822,0.988109114,0.511721593,2.010180999,0.863669195,0.439243226,5.142512119,1.458645402,0.022779775,0.013975832,0.01262966,1.629940524,2.686654107,0.134141569,0.092961542,0.00825654,0.039176503,0,0.488611671,0.338613114,0.030074509,0.142700707,0,7.93E+04,3.19E+03,2.13E+04,3
Augmentum01,2025-08-24T08:06:00,Tunulluarfik,17,17,45,St17_45,61.1682,-45.23467,MW,0.38,29.493,105.811888,-19.21972663,0.05,5.862,-0.001,2039.5847,1927.899879,8.100234811,306.962755,1.8578,2.055,2.869,0.1972,0.419,0.798673741,-1.661467103,4.561467103,82.87,10.7,8.65,0.05,0.600771035,0.041148998,0.004281415,0.225768297,0.115787668,0.100527043,1.649115673,0.967726207,0.512860617,2.945282433,1.434689109,0.840540787,3.659561859,1.077886472,0.017419308,0.006783678,0.007660622,2.567826353,4.268473757,0.161533326,0.111436522,0.002714637,0,0.010678323,0.564086261,0.389144535,0.009479713,0,0.037289491,1.92E+05,3.98E+03,6.97E+04,3
Augmentum01,2025-08-24T09:37:00,Tunulluarfik,18,18,1,St18_1,61.05698333,-45.44375,MW,4.46,18.137,104.7275756,-20.8975515,0.4,2.738,83.264,1494.492321,1518.164052,7.601868787,874.847161,0.0996,0.114,10.617,0.0144,0.04,10.39229418,2.37954425,0.52045575,56.01,4.94,4.83,0.4,0.91641753,0.043223294,0.038902699,0.183495443,0.095249053,0.087682436,1.97688893,0.874695448,0.519081298,2.290042391,0.99085452,0.538919626,4.969286328,5.864638976,0.025484765,0.017652169,0.013075713,1.443718627,4.910446191,0.125781921,0.106161245,0.000857026,0.064234975,0.041225753,0.371848812,0.313844251,0.002533624,0.189897712,0.1218756,2.75E+04,3.64E+03,1.44E+04,1
Augmentum01,2025-08-24T09:37:00,Tunulluarfik,18,18,15,St18_15,61.05698333,-45.44375,MW,0.3,29.322,106.3033014,-16.70234739,0.04,3.164,4.262,2029.981094,1918.919442,8.104119013,303.9045153,1.8513,2.052,2.879,0.2007,0.41,0.811531647,-1.523681575,4.423681575,72.48,9.21,7.16,0.04,0.724099037,0.047942821,0.043646373,0.264421039,0.147123853,0.124639523,1.484057712,0.904885237,0.556399952,2.599994309,0.926996494,0.427556574,8.393727462,53.43092314,0.026976909,0.024288021,0.017906485,1.110708384,4.308213528,0.163358891,0.177200074,0.031600553,0.106727979,0.045459168,0.311547496,0.337944505,0.060266529,0.203544689,0.086696781,6.37E+04,2.18E+03,3.01E+04,3
Augmentum01,2025-08-24T09:37:00,Tunulluarfik,18,18,45,St18_45,61.05698333,-45.44375,AW,1.44,31.76,103.0953072,-22.74231711,0.11,3.217,0.02,2148.491693,2008.269558,8.125108382,299.7622942,1.6964,1.835,1.945,0.1386,0.442,0.107748204,-2.229794059,5.129794059,109.25,14.8,12.97,0.11,0.800579479,0.04795682,0.052913251,0.286128655,0.161376759,0.141643852,1.683493023,0.894097829,0.564000691,4.754161028,2.756327805,2.017206624,2.630029728,1.565639061,0.013822468,0.002921251,0.003744588,4.73169462,5.226313405,0.179014862,0.197966235,0.030870784,0.118183024,0.056540462,0.307281894,0.339812232,0.052990198,0.202863064,0.097052613,2.67E+04,4.24E+02,4.70E+03,3
Augmentum01,2025-08-24T13:46:00,Tunulluarfik,19,19,1,St19_1,60.94516667,-45.75433333,MW,2.77,23.353,110.0001324,-10.64054835,0.47,6.078,78.739,1739.957053,1697.105064,7.912537846,449.7628797,0.3599,0.409,7.352,0.0491,0.099,6.843299062,1.741872908,1.158127092,67.45,5.33,4.92,0.47,0.737833017,0.073755208,0.032909461,0.198494604,0.094068219,0.084565079,1.188609445,0.85082316,0.473908194,2.311657514,1.023873518,0.633903958,4.17596138,1.591616932,0.022191352,0.010969435,0.008660944,2.023016845,4.115972093,0.12276577,0.107144417,0,0.197984322,0.049569576,0.257120428,0.224403093,0,0.414658041,0.103818438,3.84E+04,4.86E+03,2.16E+04,1
Augmentum01,2025-08-24T13:46:00,Tunulluarfik,19,19,15,St19_15,60.94516667,-45.75433333,MW,0.28,29.535,104.9094328,-35.44144007,0.06,3.07,1.997,2039.38666,1928.259322,8.100892188,307.3007491,1.8677,2.071,2.845,0.2033,0.379,0.75940338,-1.017697282,3.917697282,90.64,11.36,9.29,0.06,0.847692002,0.067767136,0.05266196,0.265431447,0.156372775,0.136673858,1.996563228,0.876317733,0.589126783,3.260550722,1.61523859,0.999996051,3.836709838,0.383147274,0.01899502,0.008605467,0.007731887,2.207320038,4.320373448,0.167734017,0.176832521,0.0136478,0.113339135,0.057517433,0.317035043,0.334232178,0.025795786,0.214222959,0.108714035,1.60E+05,6.37E+03,5.57E+04,3
Augmentum01,2025-08-24T13:46:00,Tunulluarfik,19,19,45,St19_45,60.94516667,-45.75433333,AW,1.86,31.849,101.5655787,-17.69319322,0.15,2.998,0.019,2153.052737,2012.778597,8.116774845,307.2065499,1.6855,1.795,2.152,0.1095,0.442,0.349668909,-2.268635388,5.168635388,263.26,39.38,37.58,0.15,0.683421667,0.079929407,0.058591954,0.306158205,0.164465201,0.130754304,1.524274527,0.877311031,0.537190244,3.809028564,1.930882846,1.278147978,3.414303375,1.222784268,0.018482975,0.005658778,0.005625484,3.266248646,1.737686734,0.18258223,0.20114716,0.007060752,0.135435721,0.062729614,0.310010242,0.341532031,0.0119886,0.229959185,0.106509942,1.73E+04,1.52E+02,2.81E+03,3
Augmentum01,2025-08-25T09:53:00,Tunulluarfik,20,20,1,St20_1,60.88233333,-46.04183333,MW,2.15,21.912,107.9655415,-5.321141179,0.98,2.22,86.718,1666.937778,1649.191857,7.821082624,544.4713747,1.1263,1.17,6.702,0.0437,0.071,5.458386042,2.933547564,-0.033547564,54.07,4.39,3.22,0.98,0.819459898,0.076072571,0.054463242,0.164651908,0.084393023,0.074057863,1.237357629,0.876756685,0.512554177,2.852352596,1.603352393,1.223114488,2.663439152,0.092232434,0.015722776,0.006307156,0.004409656,2.49284702,6.336114219,0.112389594,0.090303922,0.000874136,0.083673143,0.050441351,0.332826579,0.267422851,0.002588636,0.247786696,0.149375238,4.18E+04,1.66E+03,9.95E+03,1
Augmentum01,2025-08-25T09:53:00,Tunulluarfik,20,20,15,St20_15,60.88233333,-46.04183333,MW,0.68,29.723,107.140762,-28.99962984,0.26,3.037,5.513,2047.250785,1930.430799,8.108857868,302.3712957,1.6073,1.782,2.618,0.1747,0.36,0.820120159,-1.002437792,3.902437792,93.77,12.64,10.85,0.26,0.804606526,0.067060548,0.060808081,0.258952481,0.135319354,0.118467867,1.275149537,0.887755342,0.522564424,2.365829561,0.916584521,0.473891395,6.183948449,1.227209452,0.026075326,0.017214733,0.012633341,1.514709856,3.030118443,0.159823733,0.171585905,0.007767812,0.124921536,0.059329352,0.305340237,0.327811646,0.014840258,0.238660246,0.113347612,5.80E+04,1.75E+03,1.99E+04,3
Augmentum01,2025-08-25T09:53:00,Tunulluarfik,20,20,45,St20_45,60.88233333,-46.04183333,AW,1.76,31.765,102.4909933,-25.4299513,0.15,3.055,0.084,2148.119616,2010.322593,8.11311578,309.460634,2.232,2.361,2.289,0.129,0.471,-0.070525838,-2.169044608,5.069044608,138.96,18.63,16.27,0.15,0.640353781,0.063248776,0.06078705,0.281659151,0.160174207,0.135244578,1.608553074,0.876750902,0.568680996,2.626703442,0.957173143,0.409453338,7.826277905,4.913884731,0.02764022,0.021708648,0.018787394,1.273235443,2.270182505,0.172858939,0.195192775,0.009654432,0.096717497,0.061133457,0.322764724,0.364466787,0.018026895,0.180592316,0.114149279,2.79E+04,1.22E+03,4.33E+03,3
Augmentum01,2025-08-25T11:20:00,Tunulluarfik,21,21,1,St21_1,60.778,-46.3175,MW,2.83,24.665,114.0194895,-8.493413148,0.97,2.454,81.422,1796.507608,1735.523203,7.969100004,398.7298531,0.7014,0.781,4.605,0.0796,0.185,3.765427157,0.754376105,2.145623895,65.64,6.3,5.51,0.97,1.043584169,0.06443237,0.050812005,0.199147522,0.107059697,0.107884957,1.789228626,0.839296815,0.537589904,2.805534561,1.331299403,0.93360603,3.347120644,1.115713271,0.0208592,0.00822226,0.005352238,2.536918131,5.133091798,0.125241532,0.13861698,0.020338123,0.341148,0.064154361,0.181641356,0.201040148,0.029496958,0.494776645,0.093044894,2.28E+04,9.63E+02,9.33E+03,1
Augmentum01,2025-08-25T11:20:00,Tunulluarfik,21,21,15,St21_15,60.778,-46.3175,MW,0.96,30.275,106.8601715,-49.11818108,0.84,2.798,7.067,2072.994571,1948.812102,8.116506725,299.3487126,1.501,1.672,2.04,0.171,0.332,0.360862559,-0.669401402,3.569401402,119.36,9.29,7.62,0.84,0.981828322,0.102774702,0.094072933,0.281807255,0.156712107,0.199600711,1.39246095,0.805297101,0.55609678,3.420439882,1.527510518,0.931925601,4.241217799,1.829887539,0.020835055,0.010165318,0.007912969,2.049621436,3.441590771,0.169629185,0.189223948,0.033698604,0.126611463,0.095962079,0.275763638,0.307618553,0.054783318,0.205830369,0.156004122,5.64E+04,8.48E+03,3.88E+04,3
Augmentum01,2025-08-25T11:20:00,Tunulluarfik,21,21,45,St21_45,60.778,-46.3175,WGSW,2.68,31.513,103.9790242,-24.15047303,0.35,2.993,0.155,2135.25518,1993.769421,8.113411798,308.9155677,1.0813,1.157,1.611,0.0757,0.387,0.444787401,-2.032829431,4.932829431,125.91,14.59,13.44,0.35,0.730792621,0.077023338,0.0600332,0.288880039,0.158507381,0.215515805,1.848750124,0.868730365,0.548696203,3.303653063,1.628845398,1.007571191,3.307540714,1.298136788,0.020185047,0.008318796,0.007561153,2.426438604,3.151220979,0.16356461,0.188991076,0.057543953,0.165644209,0.068280264,0.253972805,0.293453417,0.089350618,0.257201875,0.106021285,1.56E+04,2.15E+02,2.28E+03,3
Augmentum01,2025-08-25T14:43:00,Tunulluarfik,22,22,1,St22_1,60.66683333,-46.72233333,MW,6.47,26.54,111.7108419,-13.28254333,0.76,2.529,87.774,1889.045073,1797.559711,7.995606033,392.1412366,0.1033,0.122,2.838,0.0187,0.092,2.670689411,1.572521832,1.327478168,65.97,4.66,4.54,0.76,0.943984329,0.060777121,0.03790282,0.172108698,0.083189948,0.07549208,1.754178524,0.831583144,0.483357025,2.646658924,1.274014277,0.801933495,3.916746767,1.577606097,0.021326667,0.011574208,0.008383587,1.842602642,4.818594316,0.116692493,0.094985933,0,0.049764406,0.049575309,0.375195133,0.305403192,0,0.160004834,0.159396841,2.86E+04,6.82E+02,5.59E+03,2
Augmentum01,2025-08-25T14:43:00,Tunulluarfik,22,22,15,St22_15,60.66683333,-46.72233333,MW,4.08,30.886,106.8637314,-37.02223733,0.77,2.606,8.527,2103.881646,1961.53948,8.106762163,313.640048,0.2576,0.293,1.045,0.0354,0.264,0.737081885,-0.953017138,3.853017138,NA,NA,,0.77,0.859419151,0.05347338,0.064752574,0.287706458,0.154427636,0.120188874,1.569523427,0.871208918,0.53675415,2.694396743,0.959371495,0.36378969,8.531763418,-0.526998548,0.029743074,0.02197183,0.022309745,1.353691219,,0.176209972,0.181483244,0.00063107,0.104712195,0.065664566,0.333288487,0.343262502,0.001193624,0.198055585,0.124199802,2.03E+04,2.14E+02,2.35E+03,2
Augmentum01,2025-08-25T14:43:00,Tunulluarfik,22,22,45,St22_45,60.66683333,-46.72233333,WGSW,2.08,31.896,102.239631,-22.24156651,0.26,2.981,0.459,2153.667797,2012.757071,8.114258993,309.4327051,1.6456,1.734,2.195,0.0884,0.449,0.451517574,-2.437897565,5.337897565,95.43,10.97,9.23,0.26,0.664709455,0.054754175,0.062888542,0.279090637,0.14852906,0.117947578,1.701131368,0.88242354,0.532189334,2.710884444,1.064262413,0.439372391,7.600978246,11.32416624,0.026142895,0.017977591,0.016785797,1.454193449,3.411567116,0.180062837,0.180756821,0.001388949,0.069057816,0.060949932,0.365820509,0.367230425,0.002821826,0.140299718,0.123827523,1.71E+04,1.44E+02,2.42E+03,3
